ds,yhat,yhat_lower,yhat_upper,metric
2025-03-16 02:59:10.520557,0.0,-1.659682081982953e-05,1.817583352213119e-05,node_inode_utilization_ratio
2025-03-16 03:59:10.520557,0.0,-1.8252665252270823e-05,1.9777343695583367e-05,node_inode_utilization_ratio
2025-03-16 04:59:10.520557,0.0,-2.006917416782109e-05,2.1683923544283816e-05,node_inode_utilization_ratio
2025-03-16 05:59:10.520557,0.0,-2.2113461915517104e-05,2.3166109658298804e-05,node_inode_utilization_ratio
2025-03-16 06:59:10.520557,0.0,-2.379898747054543e-05,2.519289242323321e-05,node_inode_utilization_ratio
2025-03-16 07:59:10.520557,0.0,-2.571375746591868e-05,2.732446214810253e-05,node_inode_utilization_ratio
2025-03-16 08:59:10.520557,0.0,-2.705499897468847e-05,2.931009028463514e-05,node_inode_utilization_ratio
2025-03-16 09:59:10.520557,0.0,-2.8934775552678137e-05,3.1591456968076385e-05,node_inode_utilization_ratio
2025-03-16 10:59:10.520557,0.0,-3.132031185406697e-05,3.358645617665358e-05,node_inode_utilization_ratio
2025-03-16 11:59:10.520557,0.0,-3.367366236816829e-05,3.5956459205482083e-05,node_inode_utilization_ratio
2025-03-15 11:57:01.772070,0.0,-1.3548044541497704e-09,1.2424930850550126e-09,node_hardware_temperature
2025-03-15 11:57:14.193447,0.0,-1.2862118601606518e-09,1.1952242791491785e-09,node_hardware_temperature
2025-03-15 11:57:29.091752,0.0,-1.24540661329004e-09,1.2986615382158758e-09,node_hardware_temperature
2025-03-15 11:57:45.406439,0.0,-1.3623595228611102e-09,1.2501570936486257e-09,node_hardware_temperature
2025-03-15 11:58:00.686879,0.0,-1.3278090001662078e-09,1.4043956001596652e-09,node_hardware_temperature
2025-03-15 11:58:15.714779,0.0,-1.2800729209843884e-09,1.3136463448799538e-09,node_hardware_temperature
2025-03-15 11:58:31.113795,0.0,-1.341053764770927e-09,1.2537851114793435e-09,node_hardware_temperature
2025-03-15 11:58:41.093795,0.0,-1.2857693627575338e-09,1.2162448948352756e-09,node_hardware_temperature
2025-03-15 11:58:55.752738,0.0,-1.2817570047713343e-09,1.3379256664198086e-09,node_hardware_temperature
2025-03-15 11:59:10.520557,0.0,-1.2227078838204682e-09,1.2609426546095703e-09,node_hardware_temperature
2025-03-15 12:59:10.520557,0.0,-2.2459276611847368e-07,2.1704115127973328e-07,node_hardware_temperature
2025-03-15 13:59:10.520557,0.0,-7.306304343919061e-07,6.829132096992383e-07,node_hardware_temperature
2025-03-15 14:59:10.520557,0.0,-1.4611499051651597e-06,1.3313789163978546e-06,node_hardware_temperature
2025-03-15 15:59:10.520557,0.0,-2.244923738852947e-06,1.9921948335603732e-06,node_hardware_temperature
2025-03-15 16:59:10.520557,0.0,-3.066475697119118e-06,2.94060192817532e-06,node_hardware_temperature
2025-03-15 17:59:10.520557,0.0,-4.093698991075174e-06,3.9353875945044345e-06,node_hardware_temperature
2025-03-15 18:59:10.520557,0.0,-5.167031138990256e-06,5.03535721639242e-06,node_hardware_temperature
2025-03-15 19:59:10.520557,0.0,-6.571870789350707e-06,6.179118472066458e-06,node_hardware_temperature
2025-03-15 20:59:10.520557,0.0,-7.598147879720342e-06,7.467384163741175e-06,node_hardware_temperature
2025-03-15 21:59:10.520557,0.0,-8.757967129658148e-06,8.984895164426428e-06,node_hardware_temperature
2025-03-15 22:59:10.520557,0.0,-1.006743714613433e-05,1.0519324211155556e-05,node_hardware_temperature
2025-03-15 23:59:10.520557,0.0,-1.131476259430693e-05,1.2183886343350303e-05,node_hardware_temperature
2025-03-16 00:59:10.520557,0.0,-1.3012401713705118e-05,1.3794450242462132e-05,node_hardware_temperature
2025-03-16 01:59:10.520557,0.0,-1.5191151351495489e-05,1.5066148855039729e-05,node_hardware_temperature
2025-03-16 02:59:10.520557,0.0,-1.716799199686218e-05,1.6852502560775263e-05,node_hardware_temperature
2025-03-16 03:59:10.520557,0.0,-1.8934445362678447e-05,1.8696375044204465e-05,node_hardware_temperature
2025-03-16 04:59:10.520557,0.0,-2.0357852323351137e-05,2.0503796678383094e-05,node_hardware_temperature
2025-03-16 05:59:10.520557,0.0,-2.2133109977519865e-05,2.2836974689978094e-05,node_hardware_temperature
2025-03-16 06:59:10.520557,0.0,-2.3632965072148118e-05,2.4589065867072658e-05,node_hardware_temperature
2025-03-16 07:59:10.520557,0.0,-2.5329984347126786e-05,2.6679630408143212e-05,node_hardware_temperature
2025-03-16 08:59:10.520557,0.0,-2.7541697998542977e-05,2.8339220820546525e-05,node_hardware_temperature
2025-03-16 09:59:10.520557,0.0,-2.924526223259445e-05,3.080373187226222e-05,node_hardware_temperature
2025-03-16 10:59:10.520557,0.0,-3.118482565858975e-05,3.299420574467507e-05,node_hardware_temperature
2025-03-16 11:59:10.520557,0.0,-3.295870722882215e-05,3.531136395179513e-05,node_hardware_temperature
2025-03-15 11:57:01.772070,0.0,-1.256523583490866e-09,1.299979948809543e-09,node_pid_pressure
2025-03-15 11:57:14.193447,0.0,-1.2811516813471127e-09,1.3873768784952784e-09,node_pid_pressure
2025-03-15 11:57:29.091752,0.0,-1.3605462387579178e-09,1.227591989833168e-09,node_pid_pressure
2025-03-15 11:57:45.406439,0.0,-1.3211230749123977e-09,1.3222340302100787e-09,node_pid_pressure
2025-03-15 11:58:00.686879,0.0,-1.2999738847936526e-09,1.213306704600225e-09,node_pid_pressure
2025-03-15 11:58:15.714779,0.0,-1.252677476938489e-09,1.3341613174281885e-09,node_pid_pressure
2025-03-15 11:58:31.113795,0.0,-1.1689841004658517e-09,1.3160173150612326e-09,node_pid_pressure
2025-03-15 11:58:41.093795,0.0,-1.2856892889833808e-09,1.3148782602497337e-09,node_pid_pressure
2025-03-15 11:58:55.752738,0.0,-1.2289474489028783e-09,1.2925766111592385e-09,node_pid_pressure
2025-03-15 11:59:10.520557,0.0,-1.2355569349198467e-09,1.2411624139167336e-09,node_pid_pressure
2025-03-15 12:59:10.520557,0.0,-2.2157876766883887e-07,2.3772851543427182e-07,node_pid_pressure
